cas,smiles,yield,conversion,selectivity
88-99-3,O=C(C1=CC=CC=C1C(O)=O)O,13.32,30.37,43.73
2169-87-1,O=C(C1=CC2=CC=CC=C2C=C1C(O)=O)O,11.8,24.44,48.28
89-05-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1C(O)=O)O,11.53,30.31,38.04
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15.65,36.39,43.01
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,12.49,32.69,38.21
te,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC(OC3=CC=C(C(O)=O)C(C(O)=O)=C3)=CC(OC4=CC(C(O)=O)=C(C(O)=O)C=C4)=C2)O,4.18,17.72,23.59
he2,O=C(C(C=C1)=C(C(O)=O)C=C1OC2=CC=CC(OC3=CC(C(O)=O)=C(C(O)=O)C=C3)=C2)O,11.8,27.0,43.7
ee,O=C(C1=CC(OC(C=C2)=CC=C2OC3=CC(OC4=CC=C(OC5=CC=C(C(O)=O)C(C(O)=O)=C5)C=C4)=CC=C3)=CC=C1C(O)=O)O,8.7356475,21.0,41.43
27485-15-0,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC=CC=C31)=O,17.69,22.38,79.04
1885-13-8,COC1=CC=C(C(O)=O)C(C(O)=O)=C1,13.29,36.0,43.61
14963-97-4,COC1=C(C(O)=O)C(C(O)=O)=CC=C1,8.95,21.36,41.9
4-no,O=C(C1=CC(OC2=CC3=CC=CC=C3C=C2)=CC=C1C(O)=O)O,12.97,29.0,44.83
4-po,O=C(C1=CC(OC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)=CC=C1C(O)=O)O,13.9,29.0,47.93
4-ne,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=CC=CC=C3C=C2)O,12.8,30.0,42.67
3-ne,O=C(C1=CC=CC(OCCOC2=CC3=CC=CC=C3C=C2)=C1C(O)=O)O,5.7,21.0,27.14
4-pe,O=C(C(C=C1)=C(C(O)=O)C=C1OCCOC2=CC3=C4C(C=CC5=CC=CC(C=C3)=C54)=C2)O,13.55,32.0,42.5
4-nb,O=C(C(C=C1)=C(C(O)=O)C=C1OCCCCOC2=CC3=CC=CC=C3C=C2)O,13.46,31.0,43.55
4-bpo,O=C(C1=CC=C(OC2=CC=C(C(O)=O)C(C(O)=O)=C2)C=C1)C3=CC=CC=C3,13.7,30.0,45.67
56962-08-4,ClC1=C(Cl)C=C(C(O)=O)C(C(O)=O)=C1,18.18,35.46,51.27
2479-49-4,O=C(C1=CC(C(O)=O)=C(C(O)=O)C=C1)C2=CC=C(C(O)=O)C(C(O)=O)=C2,14.76,27.9,52.9
10351-75-4,O=C(C1=CC2=C(C=C1C(O)=O)N=CN2)O,7.2,21.36,34.18
18959-31-4,FC1=C(F)C=C(C(O)=O)C(C(O)=O)=C1,14.92,35.71,41.78
27563-65-1,ClC1=C(C(O)=O)C(C(O)=O)=CC=C1,10.0,22.0,45.45
652-03-9,FC1=C(F)C(F)=C(C(O)=O)C(C(O)=O)=C1F,10.92,27.62,39.54
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,11.82,26.51,44.59
10595-33-2,O=C(O)C1=CC=C(C=C1C(=O)O)CC2=CC=C(C(=O)O)C(=C2)C(=O)O,9.43,26.23,35.95
651-97-8,O=C(O)C=1C(F)=CC=C(F)C1C(=O)O,11.85,25.09,47.31
3786-46-7,O=C(O)C=1C(O)=CC=C(O)C1C(=O)O,0.86,6.64,3.16
10595-31-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,13.04,27.16,48.09
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,14.22,34.1,41.7
632-58-6,O=C(O)C=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1C(=O)O,13.81,19.94,69.26
