cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
52839-61-9,O=C(O)C1=CC=C2C(=O)C3=CC(C(=O)O)=C(C=C3C(=O)C2=C1)C(=O)O,186.7906362044681,330.6965833333333,0.53552,-0.65123,266.0400000000001,2.92555219232199,-9.1911895283385,-2.4378679866295,6.753321541709001,5.006239442739871,0,2,1.5566000000000002,3,5,ok,False,18.19184697372216,2.0171036656873222,2.0171036656873222,14.238396435891287,22.145297511553032,18.18,0.5,1.0,0.4043874042857746,0.5840818860242879,20.208950639409483,2.191769670484674,2.714196543365607,0.807520618152021,True,0.5209560755540193,0.30428100714540307
17851-32-0,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)C2=CC(C(=O)O)=C(C=C2C(=O)O)C(=O)O,190.02868211837935,375.272828,0.53563,-0.65086,341.7680000000001,7.268179151616999,-9.2864293760135,-1.833503124669,7.452926251344501,4.147796940746198,0,2,1.1068000000000002,6,7,ok,False,17.608073831615105,4.014482615668618,4.014482615668618,9.739832488342461,25.47631517488775,18.18,0.5,1.0,0.39472889296735064,1.1223396119718196,21.622556447283724,3.1027274765279853,2.714196543365607,1.1431476781267282,False,0.27068848692863035,0.303804411384718
844645-02-9,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)S(=O)(=O)O,186.9754670909084,341.5895306666667,0.53571,-0.65074,280.7680000000001,7.376475458509979,-9.34983190318,-2.499093602992,6.8507383001880005,5.123427194955052,0,2,1.1051000000000002,3,6,ok,False,17.626678097361307,2.365266130309925,2.365266130309925,12.990841668101432,22.26251452662118,18.18,0.5,1.0,0.3280409605581365,0.5089944204670196,19.991944227671233,2.6697950579937197,2.714196543365607,0.9836410205884245,True,0.38001306039787225,0.1934245274471135
294675-76-6,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C2=CC=CC(=C2)N3C(=O)C4=CC=C(C=C4C3=O)N(=O)=O,190.3124693245524,471.58161966666665,0.53301,-0.66157,378.2080000000001,7.690108207301118,-8.176204865973501,-2.239496989615,5.936707876358501,4.568476645807869,0,1,3.044100000000001,3,7,ok,False,17.4931615131848,1.8468083040872818,1.8468083040872818,13.87348375082423,21.11283927554537,18.18,0.5,1.0,0.2602278771788192,0.29046251544615936,19.33996981727208,2.3515277536963075,2.714196543365607,0.8663807930358685,True,0.4720758163000663,0.1371203290838163
10133-84-3,O=C(O)C1=CC=C(N=N(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,188.9989075467748,362.3044903333334,0.53334,-0.66008,293.24800000000005,4.284725369262305,-8.3922632632705,-2.0340510324875,6.358212230783,4.274315870883587,0,1,2.4051,4,6,ok,False,17.39094156935158,1.6695015955747838,1.6695015955747838,14.118778569892848,20.66310456881031,18.18,0.5,1.0,0.22002117183747466,0.21073585707298798,19.06044316492636,1.853695275722605,2.714196543365607,0.6829628017372761,True,0.6272323777709348,0.1321803527134861
302927-97-5,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=C(C=C(C2)N(=O)=O)N(=O)=O,189.45637149833877,342.8924606666667,0.53399,-0.66037,289.22400000000005,4.874665872652196,-8.2894042277815,-2.1271139693585,6.162290258422999,4.401928779768163,0,1,2.1517,3,7,ok,False,17.46056043132854,1.5362477030041077,1.5362477030041077,14.449570262108102,20.471550600548973,18.18,0.5,1.0,0.21366235263804745,0.1867017554735408,18.996808134332646,1.8662760144927524,2.714196543365607,0.6875979630342347,True,0.6232603446707079,0.11636380046706525
884740-23-2,O=C(O)C=1C=C2C(=O)C3=CC=C(Cl)C=C3C(=O)C2=CC1C(=O)O,186.53972145292332,320.02610066666665,0.53556,-0.65149,253.16000000000005,1.2349677445180502,-8.825740627117,-2.3823567611275003,6.4433838659895,4.8740479256345575,0,2,2.5118,2,4,ok,False,17.821299075118176,1.3581544395082652,1.3581544395082652,15.159365288238792,20.48323286199756,18.18,0.5,1.0,0.2636098935718215,0.21730297064027715,19.17945351462644,2.214188809848291,2.714196543365607,0.8157805724351466,True,0.5140175128768196,0.11169753250925982
24934-81-4,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C2=CC=CC(=C2)N(=O)=O,190.55385852542892,318.55121933333334,0.53292,-0.66129,265.24800000000005,2.5944183201635007,-8.215661374296001,-1.843299223287,6.372362151009002,3.969591099263954,0,1,2.2435,3,5,ok,False,17.207336940201124,1.4354407069704362,1.4354407069704362,14.393924852596356,20.02074902780589,18.18,0.5,1.0,0.15246206446569205,0.11380466329001707,18.64277764717156,1.7647610183089752,2.714196543365607,0.6501964725519359,True,0.6552388502688927,0.07456923672938924
310873-87-1,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)C=3C=C(C=C(C3)N(=O)=O)N(=O)=O)C=C1C(=O)O,189.50153208348937,445.7116083333333,0.53322,-0.66059,369.3440000000001,5.665272898104734,-7.900009307716001,-2.115957301488,5.784052006228001,4.336042752065073,0,1,3.9440000000000026,3,8,ok,False,17.130743204000808,1.510374854589876,1.510374854589876,14.17046288584973,20.091023522151886,18.18,0.5,1.0,0.15250631358008437,0.1197888283370234,18.641118058590685,1.9372431527718603,2.714196543365607,0.7137446098025299,True,0.6008371369021496,0.07197357665088022
15586-20-6,O=C(O)C=1C=CC(=CC1C(=O)O)C=2N=C(N=C(N2)C=3C=CC(C(=O)O)=C(C3)C(=O)O)C=4C=CC(C(=O)O)=C(C4)C(=O)O,185.0720466946859,555.866785,0.53377,-0.6586,451.3520000000001,5.651879605051756,-8.861659655383,-1.686017417698,7.175642237685,3.876081330174116,0,1,3.0618000000000007,6,9,ok,False,14.012547544223347,3.81042394631226,3.81042394631226,6.544253843622333,21.48084124482436,18.18,0.5,1.0,0.1103032775840263,0.20307638786066162,17.822971490535608,2.8262656403175925,2.714196543365607,1.0412899711429962,False,0.33814353833925576,0.0686689683443592
503427-05-2,O=C(O)C=1C=C2C(=O)C3=NC=CC=C3C(=O)C2=CC1C(=O)O,186.4589703959938,291.2775066666666,0.53572,-0.651,234.12800000000004,3.254320325352131,-9.239353679877,-2.402765299915,6.836588379962,4.956380536851427,0,2,1.2534,2,5,ok,False,17.358926137894787,1.3597121415197904,1.3597121415197904,14.69393931117417,20.023912964615405,18.18,0.5,1.0,0.1656289007175784,0.1195493188455668,18.718638279414577,2.2579473183758703,2.714196543365607,0.8319026578583778,True,0.5005428686973363,0.059839559005772536
