cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
66421-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=C2)N(=O)=O)N(=O)=O,190.536077272946,323.182712,0.53519,-0.6549,278.0880000000001,11.06867026611598,-9.195815463797,-2.2784092702365,6.917406193560501,4.758208118878,0,1,2.1304,2,7,ok,False,20.467984426205902,1.2728016727997231,1.2728016727997231,17.97333898805611,22.962629864355694,18.18,0.5,1.0,0.9199540859986807,1.8341683026056723,21.740786099005625,1.953434366594984,2.4824485263151033,0.7868982361115148,True,0.5383702093519168,0.9874615730604657
61837-56-7,O=C(O)C=1C=C(C(=O)OCC)C(=CC1C(=O)O)N(=O)=O,189.9435324941364,232.37722866666664,0.53821,-0.64426,224.4720000000001,7.659523983903961,-9.490242650038,-2.1135082768335,7.376734373204501,4.563233158495161,0,2,1.1679,2,6,ok,False,20.405400102702586,1.2728016727997231,1.2728016727997231,17.910754664552794,22.90004554085238,18.18,0.5,1.0,0.9123855328860859,1.77682775650956,21.67820177550231,1.9038719831163653,2.4824485263151033,0.7669331158066084,True,0.555333522592424,0.9867320170624477
1898181-04-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CC(=O)C=2SC=CC2)N(=O)=O,191.2214625053384,305.00447,0.53653,-0.65022,261.56800000000004,9.968592726157487,-8.486686769394,-1.863979875925,6.622706893468999,4.044279088818352,0,2,2.4781000000000004,2,6,ok,False,19.381442579040584,1.2728016727997231,1.2728016727997231,16.886797140890792,21.876088017190376,18.18,0.5,1.0,0.7092178619775368,0.9337105543962256,20.654244251840307,1.5591325024946232,2.4824485263151033,0.6280623690550265,True,0.6740423478382699,0.6293604542866046
39995-15-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)N(=O)=O,190.12804854643187,300.4959813333333,0.53481,-0.65582,253.85600000000005,6.065199855734352,-9.1215283826105,-2.0857526640825,7.035775718528001,4.463017067499787,0,1,2.2222,2,5,ok,False,19.45835059140305,1.2728016727997231,1.2728016727997231,16.963705153253258,21.952996029552843,18.18,0.5,1.0,0.7295741061316741,0.9890424515497378,20.731152264202773,1.6863024868200973,2.4824485263151033,0.679290011029236,True,0.6303784541499997,0.6234710516966497
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,185.80155216459065,198.797335,0.53891,-0.63898,187.30400000000003,9.481184314208852,-9.789023657887,-2.428344001862,7.360679656025001,5.069643005428932,0,2,0.8994,2,6,ok,False,19.844333568326764,1.2728016727997231,1.2728016727997231,17.349688130176972,22.338979006476556,18.18,0.5,1.0,0.8198464429847602,1.2887367644106207,21.117135241126487,2.3935019971081117,2.4824485263151033,0.9641698394693315,True,0.394702295965139,0.5086673598075564
61415-80-3,O=C(O)C=1C=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.4965203195005,325.0242296666667,0.53567,-0.65037,262.04800000000006,5.606733406360606,-9.324797428934,-2.483310999663,6.841486429271,5.09507057066401,0,2,1.7666000000000002,2,6,ok,False,19.48898731440621,1.2728016727997231,1.2728016727997231,16.994341876256417,21.983632752556,18.18,0.5,1.0,0.7374800248804559,1.0115156200158493,20.761788987205932,2.108551520679692,2.4824485263151033,0.8493837831189932,True,0.48604561035136634,0.4916427269105442
39995-20-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=CC(=C2)N(=O)=O,190.78514044338615,299.6241043333334,0.53401,-0.65653,253.94400000000007,9.168382578186842,-9.0964939083645,-1.8359521493235,7.260541759040999,4.115339487422917,0,1,2.2222,2,5,ok,False,18.893581834755306,1.2728016727997231,1.2728016727997231,16.398936396605514,21.388227272905098,18.18,0.5,1.0,0.56663145470586,0.6216976347167267,20.16638350755503,1.5638974391853844,2.4824485263151033,0.6299818194042486,True,0.6724166654171441,0.41803985043394704
503427-05-2,O=C(O)C=1C=C2C(=O)C3=NC=CC=C3C(=O)C2=CC1C(=O)O,186.4589703959938,291.2775066666666,0.53572,-0.651,234.12800000000004,3.254320325352131,-9.239353679877,-2.402765299915,6.836588379962,4.956380536851427,0,2,1.2534,2,5,ok,False,19.082135978322004,1.2728016727997231,1.2728016727997231,16.58749054017221,21.576781416471796,18.18,0.5,1.0,0.6239780674896838,0.7339770768968235,20.354937651121727,1.931162076897726,2.4824485263151033,0.7779263321782967,True,0.5459819413163542,0.4007382293258307
884740-23-2,O=C(O)C=1C=C2C(=O)C3=CC=C(Cl)C=C3C(=O)C2=CC1C(=O)O,186.53972145292332,320.02610066666665,0.53556,-0.65149,253.16000000000005,1.2349677445180502,-8.825740627117,-2.3823567611275003,6.4433838659895,4.8740479256345575,0,2,2.5118,2,4,ok,False,18.8868483804619,1.2728016727997231,1.2728016727997231,16.392202942312107,21.38149381861169,18.18,0.5,1.0,0.5645495373115246,0.6178892559423621,20.159650053261622,1.8254360741172637,2.4824485263151033,0.7353369283458636,True,0.5823285927674205,0.3598145808990243
847802-82-8,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)C,186.6051060028986,324.94301433333334,0.53535,-0.65256,255.15200000000007,2.623942053476029,-8.660295406013,-2.2882053688545,6.3720900371585,4.702918058214053,0,2,2.1668200000000004,2,4,ok,False,18.42347688518561,1.2728016727997231,1.2728016727997231,15.928831447035819,20.918122323335403,18.18,0.5,1.0,0.42013735905765504,0.389790776907036,19.696278557985334,1.6488996671148386,2.4824485263151033,0.6642231045823263,True,0.6432689730410245,0.25074031276185216
