cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
61837-56-7,O=C(O)C=1C=C(C(=O)OCC)C(=CC1C(=O)O)N(=O)=O,189.94353249413643,232.37722866666664,0.53821,-0.64426,224.4720000000001,7.659523983903961,-9.490242650038,-2.1135082768335,7.376734373204501,4.563233158495161,0,2,1.1679,2,6,ok,False,20.078940284856348,1.2787849917355067,1.2787849917355067,17.572567757084403,22.585312812628292,18.18,0.5,1.0,0.8630138514479752,1.4877427533422842,21.357725276591854,1.9038719831163675,2.4824485263151033,0.7669331158066093,True,0.5553335225924232,0.8261934239249212
66421-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=C2)N(=O)=O)N(=O)=O,190.536077272946,323.182712,0.53519,-0.6549,278.0880000000001,11.06867026611598,-9.195815463797,-2.2784092702365,6.917406193560501,4.758208118878,0,1,2.1304,2,7,ok,False,20.0669639881226,1.2787849917355067,1.2787849917355067,17.560591460350654,22.573336515894542,18.18,0.5,1.0,0.8609494959318951,1.4774193840213103,21.345748979858104,1.953434366594984,2.4824485263151033,0.7868982361115148,True,0.5383702093519168,0.7953985830761329
104825-37-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CS(=O)(=O)C=2C=CC=CC2)N(=O)=O,190.3159987166777,327.26303733333333,0.53635,-0.64736,285.14400000000006,9.006907150070994,-8.997172352932,-1.9845263116965,7.012646041235499,4.299293906022394,0,2,1.9651,2,6,ok,False,19.425083837915444,1.2787849917355067,1.2787849917355067,16.9187113101435,21.93145636568739,18.18,0.5,1.0,0.7199354680534562,0.9669292525799417,20.70386882965095,1.6424219624752454,2.4824485263151033,0.6616137031905446,True,0.6454983064980718,0.6241511950437987
1898181-04-8,O=C(O)C=1C=C(C(=CC1C(=O)O)CC(=O)C=2SC=CC2)N(=O)=O,191.2214625053384,305.00447,0.53653,-0.65022,261.56800000000004,9.968592726157487,-8.486686769394,-1.863979875925,6.622706893468999,4.044279088818352,0,2,2.4781000000000004,2,6,ok,False,19.07852004516166,1.2787849917355067,1.2787849917355067,16.572147517389716,21.584892572933605,18.18,0.5,1.0,0.6223427828165482,0.7339961012831435,20.357305036897166,1.5591325024946232,2.4824485263151033,0.6280623690550265,True,0.6740423478382699,0.4947444554130266
39995-15-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C=C2)N(=O)=O,190.1280485464319,300.4959813333333,0.53481,-0.65582,253.85600000000005,6.065199855734352,-9.1215283826105,-2.0857526640825,7.035775718528001,4.463017067499787,0,1,2.2222,2,5,ok,False,19.103202399799567,1.2787849917355067,1.2787849917355067,16.596829872027623,21.60957492757151,18.18,0.5,1.0,0.629655478813314,0.7494473271076413,20.381987391535073,1.6863024868200998,2.4824485263151033,0.679290011029237,True,0.6303784541499988,0.47243544752896344
1008474-54-1,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.5816986276645,329.8108416666667,0.53569,-0.65046,262.1120000000001,5.7241151263754295,-9.346022309273,-2.6082112570425,6.7378110522305,5.302304377870504,0,2,1.7666000000000002,2,6,ok,False,19.66544500498354,1.2787849917355067,1.2787849917355067,17.159072477211595,22.171817532755483,18.18,0.5,1.0,0.7795310504566054,1.147287609468939,20.944229996719045,2.370708373270886,2.4824485263151033,0.9549879274999179,True,0.4017192000904731,0.4608874607495733
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,185.80155216459065,198.797335,0.53891,-0.63898,187.30400000000003,9.481184314208852,-9.789023657887,-2.428344001862,7.360679656025001,5.069643005428932,0,2,0.8994,2,6,ok,False,19.555060313236933,1.2787849917355067,1.2787849917355067,17.04868778546499,22.061432841008877,18.18,0.5,1.0,0.7531041009790129,1.0626826201489679,20.83384530497244,2.3935019971081117,2.4824485263151033,0.9641698394693315,True,0.394702295965139,0.4194432700550473
61415-80-3,O=C(O)C=1C=C2C(=O)C3=CC=CC(=C3C(=O)C2=CC1C(=O)O)N(=O)=O,186.4965203195005,325.0242296666667,0.53567,-0.65037,262.04800000000006,5.606733406360606,-9.324797428934,-2.483310999663,6.841486429271,5.09507057066401,0,2,1.7666000000000002,2,6,ok,False,19.14355990818105,1.2787849917355067,1.2787849917355067,16.637187380409106,21.649932435952994,18.18,0.5,1.0,0.6415108900945172,0.7750983170669531,20.422344899916556,2.108551520679692,2.4824485263151033,0.8493837831189932,True,0.48604561035136634,0.37673313460112406
884740-33-4,O=C(O)C=1C=C2C(=O)C=3C=CC=4C=CC=CC4C3C(=O)C2=CC1C(=O)O,187.48564593815547,392.4623223333333,0.53491,-0.65292,281.63200000000006,2.9369238277490277,-7.8453144237655,-2.377186597968,5.468127825797501,4.777664790787041,0,2,3.0116000000000014,2,4,ok,False,18.715469372828174,1.2787849917355067,1.2787849917355067,16.20909684505623,21.22184190060012,18.18,0.5,1.0,0.5110639540015344,0.5280923154941072,19.99425436456368,1.7407148810231807,2.4824485263151033,0.7012088518939255,True,0.6115895728916388,0.3229757536803976
39995-20-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=CC(=C2)N(=O)=O,190.78514044338615,299.6241043333334,0.53401,-0.65653,253.94400000000007,9.168382578186842,-9.0964939083645,-1.8359521493235,7.260541759040999,4.115339487422917,0,1,2.2222,2,5,ok,False,18.5693633715306,1.2787849917355067,1.2787849917355067,16.062990843758655,21.075735899302543,18.18,0.5,1.0,0.46552772528264813,0.4567512238285725,19.848148363266105,1.5638974391853844,2.4824485263151033,0.6299818194042486,True,0.6724166654171441,0.3071271348520083
503427-05-2,O=C(O)C=1C=C2C(=O)C3=NC=CC=C3C(=O)C2=CC1C(=O)O,186.45897039599384,291.2775066666666,0.53572,-0.651,234.12800000000004,3.254320325352131,-9.239353679877,-2.402765299915,6.836588379962,4.956380536851427,0,2,1.2534,2,5,ok,False,18.7543060997684,1.2787849917355067,1.2787849917355067,16.247933571996455,21.260678627540344,18.18,0.5,1.0,0.5231682197923009,0.5481754628206751,20.033091091503906,1.9311620768977273,2.4824485263151033,0.7779263321782972,True,0.5459819413163537,0.29929390337282286
anthraquinone_br,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC(Br)=CC=C31)=O,186.709494619946,331.1259113333333,0.53546,-0.65149,258.19200000000006,1.3962945928420694,-8.7117249237575,-2.3867105827355,6.325014341021999,4.86857673558578,0,2,2.6209000000000007,2,4,ok,False,18.63976708922131,1.2787849917355067,1.2787849917355067,16.133394561449364,21.146139616993253,18.18,0.5,1.0,0.48745061778937987,0.49029741526728166,19.918552080956815,1.8183024435242605,2.4824485263151033,0.7324633015546599,True,0.5847899897261878,0.28672102043693004
884740-23-2,O=C(O)C=1C=C2C(=O)C3=CC=C(Cl)C=C3C(=O)C2=CC1C(=O)O,186.5397214529233,320.02610066666665,0.53556,-0.65149,253.16000000000005,1.2349677445180502,-8.825740627117,-2.3823567611275003,6.4433838659895,4.8740479256345575,0,2,2.5118,2,4,ok,False,18.5668754653405,1.2787849917355067,1.2787849917355067,16.060502937568558,21.073247993112446,18.18,0.5,1.0,0.4647545386736615,0.45559399635434045,19.845660457076008,1.825436074117264,2.4824485263151033,0.7353369283458636,True,0.5823285927674205,0.2653054107703084
847802-82-8,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)C,186.6051060028986,324.94301433333334,0.53535,-0.65256,255.15200000000007,2.623942053476029,-8.660295406013,-2.2882053688545,6.3720900371585,4.702918058214053,0,2,2.1668200000000004,2,4,ok,False,18.121855706286293,1.2787849917355067,1.2787849917355067,15.61548317851435,20.628228234058238,18.18,0.5,1.0,0.33124986341147844,0.27892548300165215,19.4006406980218,1.6488996671148386,2.4824485263151033,0.6642231045823263,True,0.6432689730410245,0.1794241090054445
17828-52-3,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C3C(=O)OC(=O)C3=C2,188.7516629603113,317.8479256666667,0.53438,-0.65584,267.75200000000007,9.348273905914397,-9.183298226674,-1.9496957388325,7.233602487841501,4.283604014885147,0,1,1.6246,2,6,ok,False,17.98670424018012,1.2787849917355067,1.2787849917355067,15.480331712408177,20.493076767952065,18.18,0.5,1.0,0.2938569212627374,0.2367052035616282,19.265489231915627,1.4837271058077492,2.4824485263151033,0.597686957082717,True,0.6996117793839218,0.16560174865318414
35010-28-7,O=C(O)C1=CC(Cl)=C(C=C1C(=O)O)N(=O)=O,187.19475457439728,190.154692,0.53801,-0.64444,178.04800000000003,6.673814974959974,-9.2254758735015,-1.940715981766,7.2847598917355,4.278927596848286,0,2,1.6446,2,4,ok,False,18.01239816206592,1.2787849917355067,1.2787849917355067,15.506025634293977,20.518770689837865,18.18,0.5,1.0,0.30081445611276036,0.24434476425258195,19.291183153801427,1.5960978330987046,2.4824485263151033,0.6429530426026275,True,0.6614052009012972,0.16161089788965907
1898181-02-6,O=C(O)C=1C=C(C(=CC1C(=O)O)CC(=O)C2=CC=C(C=C2)C)N(=O)=O,188.86427953899891,334.1970136666667,0.53681,-0.65141,286.75200000000007,8.881685270825576,-8.4319918854435,-1.845476134091,6.5865157513525,4.0091891099958525,0,2,2.7250200000000007,2,5,ok,False,17.720492821039365,1.2787849917355067,1.2787849917355067,15.21412029326742,20.22686534881131,18.18,0.5,1.0,0.22652882836577704,0.16763947774868512,18.99927781277487,1.3457481192278216,2.4824485263151033,0.5421051453684814,True,0.7453674291929319,0.12495300656078313
26190-11-4,O=C(O)C1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1C(=O)O,191.0366980701806,289.4533466666667,0.53328,-0.65975,243.05600000000007,6.556791750543859,-8.3672287890245,-1.7224806736649998,6.6447481153595,3.830176677659445,0,1,2.7835,2,5,ok,False,17.796100416661005,1.2787849917355067,1.2787849917355067,15.289727888889061,20.30247294443295,18.18,0.5,1.0,0.2447190973579737,0.18544955566497925,19.07488540839651,1.579499321886806,2.4824485263151033,0.6362666960234552,True,0.6670866653366632,0.1237109256767169
302927-80-6,O=C(O)C1=CC=C(OC2=CC=CC(=C2)N3C(=O)C=4C(Br)=C(Br)C(Br)=C(Br)C4C3=O)C=C1C(=O)O,190.11088370190785,512.4864256666666,0.53357,-0.6601,409.2800000000001,3.4690033179574797,-8.311989677373,-1.867789469832,6.444200207541001,4.020200340943956,0,1,6.725900000000003,2,5,ok,False,17.748538026775847,1.2787849917355067,1.2787849917355067,15.242165499003903,20.25491055454779,18.18,0.5,1.0,0.23318558155649838,0.17408561809148473,19.027323018511353,1.5822703372612457,2.4824485263151033,0.6373829388559109,True,0.6661389405571383,0.11596520920169623
