cas,smiles,sasa,polar,h_nbo_charge,o_nbo_charge,molecular_volume_A3,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,omega,3and6,4and5,logp,hbd,hba,prediction_status,known_any,mu,sigma_raw,sigma_cal,ci_lower,ci_upper,current_best_y,xi,beta,pi,ei,ucb,ad_knn_distance,ad_threshold,ad_ratio,in_ad,ad_penalty,ei_ad
52839-61-9,O=C(O)C1=CC=C2C(=O)C3=CC(C(=O)O)=C(C=C3C(=O)C2=C1)C(=O)O,186.7906362044681,330.6965833333333,0.53552,-0.65123,266.0400000000001,2.92555219232199,-9.1911895283385,-2.4378679866295,6.753321541709001,5.006239442739871,0,2,1.5566000000000002,3,5,ok,False,18.51148397517153,0.780853955482372,0.780853955482372,16.98103834524044,20.04192960510262,18.18,0.5,1.0,0.4145679601548363,0.23448387340518959,19.2923379306539,2.191769670484674,2.714196543365607,0.807520618152021,True,0.5209560755540193,0.12215579846987305
1415112-14-9,O=C(O)C=1C=C2C(=O)C3=CC=C(O)C=C3C(=O)C2=CC1C(=O)O,186.5953787308769,316.16523666666666,0.53534,-0.6526,246.7040000000001,2.4909615111438392,-8.2964791878945,-2.29119862121,6.005280566684499,4.666681270950734,0,2,1.564,3,5,ok,False,18.0249635822417,0.780853955482372,0.780853955482372,16.49451795231061,19.55540921217279,18.18,0.5,1.0,0.20077060738123842,0.08760291625453467,18.80581753772407,1.9392069191100312,2.714196543365607,0.714468126433251,True,0.6002165911298629,0.05258072376733166
61754-78-7,O=C(O)C=1C=C2C(=O)C=3C(O)=CC=C(O)C3C(=O)C2=CC1C(=O)O,186.31008455794216,332.69293666666664,0.53538,-0.65242,253.25600000000009,3.206191861071324,-7.7729321395325,-2.3273897633265,5.445542376206,4.683486762821312,0,2,1.2695999999999998,4,6,ok,False,17.861245552525993,0.780853955482372,0.780853955482372,16.330799922594903,19.391691182457084,18.18,0.5,1.0,0.14719557815592166,0.05926306542783649,18.642099508008364,2.1740094654581243,2.714196543365607,0.8009771697529133,True,0.5264681587392163,0.031200116937034783
302927-97-5,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=C(C=C(C2)N(=O)=O)N(=O)=O,189.45637149833877,342.8924606666667,0.53399,-0.66037,289.22400000000005,4.874665872652196,-8.2894042277815,-2.1271139693585,6.162290258422999,4.401928779768163,0,1,2.1517,3,7,ok,False,17.78001583523904,0.780853955482372,0.780853955482372,16.24957020530795,19.310461465170132,18.18,0.5,1.0,0.1245446916309274,0.04824391653932407,18.560869790721412,1.8662760144927524,2.714196543365607,0.6875979630342347,True,0.6232603446707079,0.030068520050563985
anthraquinone_br,O=C1C2=C(C=C(C(O)=O)C(C(O)=O)=C2)C(C3=CC(Br)=CC=C31)=O,186.709494619946,331.1259113333333,0.53546,-0.65149,258.19200000000006,1.3962945928420694,-8.7117249237575,-2.3867105827355,6.325014341021999,4.86857673558578,0,2,2.6209000000000007,2,4,ok,False,17.726188317425198,0.780853955482372,0.780853955482372,16.195742687494107,19.25663394735629,18.18,0.5,1.0,0.11094872784525361,0.041910892411862716,18.50704227290757,2.180736828086723,2.714196543365607,0.8034557532015006,True,0.5243786991682824,0.02197717924391441
884740-23-2,O=C(O)C=1C=C2C(=O)C3=CC=C(Cl)C=C3C(=O)C2=CC1C(=O)O,186.5397214529233,320.02610066666665,0.53556,-0.65149,253.16000000000005,1.2349677445180502,-8.825740627117,-2.3823567611275003,6.4433838659895,4.8740479256345575,0,2,2.5118,2,4,ok,False,17.701931445040096,0.780853955482372,0.780853955482372,16.171485815109005,19.232377074971186,18.18,0.5,1.0,0.10518244450509756,0.039290007167645954,18.482785400522467,2.2141888098482907,2.714196543365607,0.8157805724351465,True,0.5140175128768197,0.020195751765225794
884740-33-4,O=C(O)C=1C=C2C(=O)C=3C=CC=4C=CC=CC4C3C(=O)C2=CC1C(=O)O,187.48564593815547,392.4623223333333,0.53491,-0.65292,281.63200000000006,2.9369238277490277,-7.8453144237655,-2.377186597968,5.468127825797501,4.777664790787041,0,2,3.0116000000000014,2,4,ok,False,17.664091695746215,0.780853955482372,0.780853955482372,16.133646065815125,19.194537325677306,18.18,0.5,1.0,0.09662543385079403,0.03547349667457453,18.444945651228586,2.107583319980969,2.714196543365607,0.7765035752965638,True,0.5471907579934142,0.019410769534037295
2324777-75-3,O=C(O)C1=CC=2N=C(N=NC3=CC(Cl)=CC=C3Cl)NC2C=C1C(=O)O,189.97738786569332,393.989956,0.53175,-0.66887,284.76000000000005,5.9263220069449485,-8.0782438797935,-2.157318606764,5.920925273029501,4.423579701868887,0,2,4.681500000000001,3,5,ok,False,17.5494142567817,0.780853955482372,0.780853955482372,16.018968626850608,19.07985988671279,18.18,0.5,1.0,0.07382478430849841,0.025744020751288177,18.33026821226407,2.0245067607269864,2.714196543365607,0.745895416334366,True,0.5732920695725506,0.014758842935624688
847802-82-8,O=C(O)C=1C=C2C(=O)C3=CC=C(C=C3C(=O)C2=CC1C(=O)O)C,186.6051060028986,324.94301433333334,0.53535,-0.65256,255.15200000000007,2.623942053476029,-8.660295406013,-2.2882053688545,6.3720900371585,4.702918058214053,0,2,2.1668200000000004,2,4,ok,False,17.540273393733337,0.780853955482372,0.780853955482372,16.009827763802246,19.070719023664427,18.18,0.5,1.0,0.07220139788960474,0.02507663912875023,18.321127349215708,2.0028662766680503,2.714196543365607,0.7379223444830173,True,0.5801147289392128,0.014547327710881398
302927-77-1,O=C(O)C1=CC=C(C=C1C(=O)O)N2C(=O)C=3C(Br)=C(Br)C(Br)=C(Br)C3C2=O,188.73608365123584,407.819859,0.53385,-0.65948,329.1600000000001,1.4099487756652722,-8.770229401615,-1.89935467649,6.870874725125,4.142122690123734,0,1,4.933600000000001,2,4,ok,False,17.47437933590033,0.780853955482372,0.780853955482372,15.943933705969238,19.00482496583142,18.18,0.5,1.0,0.06129693423788621,0.020685850339986933,18.2552332913827,1.6730235985987036,2.714196543365607,0.6163973654332904,True,0.6838985356109413,0.014147022755384155
