descriptor,mae,r2
dipole_moment_debye|3and6|lumo_ev|homo_ev,1.3360387736872736,0.497301126793259
dipole_moment_debye|3and6|delta_g_hartree|lumo_ev,1.336042235548197,0.4972975915920276
dipole_moment_debye|3and6|lumo_ev|gap_ev,1.3436102695609875,0.4868299252061462
dipole_moment_debye|nbo_charge|3and6|lumo_ev,1.3471716459451577,0.4743113013035246
dipole_moment_debye|nbo_charge|3and6|homo_ev,1.33452093923268,0.4450714022503618
dipole_moment_debye|nbo_charge|3and6|4and5,1.3345289582452349,0.4450679120262362
dipole_moment_debye|nbo_charge|3and6|delta_g_hartree,1.3345343973099757,0.4450642733130995
dipole_moment_debye|nbo_charge|3and6|gap_ev,1.3348234037551805,0.4441819625751416
nbo_charge|3and6|molecular_volume_A3|homo_ev,1.3791037344158734,0.4390189454748774
nbo_charge|3and6|4and5|molecular_volume_A3,1.3858521288520167,0.4187436026503234
dipole_moment_debye|3and6|homo_ev|gap_ev,1.37450411151222,0.4143823335475872
nbo_charge|3and6|molecular_volume_A3|gap_ev,1.3997482799872978,0.4099411371651019
nbo_charge|3and6|delta_g_hartree|molecular_volume_A3,1.3898335096986218,0.4059979789459349
dipole_moment_debye|3and6|molecular_volume_A3|lumo_ev,1.3949707833480236,0.3766608644341922
dipole_moment_debye|3and6|4and5|lumo_ev,1.41523706177126,0.3662152496197194
dipole_moment_debye|4and5|molecular_volume_A3|lumo_ev,1.436941423688531,0.3520459104582019
dipole_moment_debye|4and5|lumo_ev|homo_ev,1.412264238853137,0.3477175205852694
dipole_moment_debye|nbo_charge|3and6|molecular_volume_A3,1.4007732300221476,0.3448975741305992
nbo_charge|molecular_volume_A3|lumo_ev|gap_ev,1.4317051048898048,0.3412695691008232
nbo_charge|molecular_volume_A3|lumo_ev|homo_ev,1.4317128035374267,0.3412650069789792
dipole_moment_debye|nbo_charge|lumo_ev|gap_ev,1.405383361129733,0.3378466943610074
dipole_moment_debye|nbo_charge|lumo_ev|homo_ev,1.4054004510577585,0.337822108180061
dipole_moment_debye|4and5|lumo_ev|gap_ev,1.4166074561331372,0.3365182292093961
dipole_moment_debye|lumo_ev|homo_ev,1.447164033466376,0.3292927494761599
nbo_charge|4and5|molecular_volume_A3|lumo_ev,1.4530353764599655,0.3263336529459565
nbo_charge|molecular_volume_A3|lumo_ev,1.4416720624117652,0.3262436961667199
dipole_moment_debye|molecular_volume_A3|lumo_ev|homo_ev,1.4573245465685687,0.3109699352315382
dipole_moment_debye|delta_g_hartree|lumo_ev,1.4552721719134156,0.3109595537447182
dipole_moment_debye|lumo_ev|gap_ev,1.4558697484947831,0.304710499086526
dipole_moment_debye|lumo_ev|homo_ev|gap_ev,1.457548812229573,0.3006372279581444
dipole_moment_debye|molecular_volume_A3|lumo_ev|gap_ev,1.4575661328693046,0.3006305804086534
dipole_moment_debye|delta_g_hartree|lumo_ev|homo_ev,1.4704824919545527,0.2969782666771848
dipole_moment_debye|nbo_charge|lumo_ev,1.4640995757685218,0.2836675745729001
nbo_charge|delta_g_hartree|molecular_volume_A3,1.4637921220690184,0.2807980831998845
dipole_moment_debye|delta_g_hartree|lumo_ev|gap_ev,1.481966712861124,0.2793427528669707
dipole_moment_debye|molecular_volume_A3|lumo_ev,1.4650929163416118,0.2779982291100777
dipole_moment_debye|nbo_charge|delta_g_hartree|lumo_ev,1.4674638567845113,0.2601838607841595
nbo_charge|3and6|molecular_volume_A3|lumo_ev,1.4723223295895405,0.2526299447882172
nbo_charge|molecular_volume_A3|homo_ev,1.4712894782396304,0.2475299028830866
