descriptor,mae,r2
lumo_ev|dipole_moment_debye|sasa|hbd,1.159665363727538,0.7423611285410477
homo_ev|gap_ev|h_nbo_charge|hbd,1.184147627475826,0.7400990949607058
omega|molecular_volume_A3|h_nbo_charge|logp,1.1914977261827395,0.7267981525952115
omega|dipole_moment_debye|sasa|hbd,1.1293450435204049,0.7114828662358497
omega|h_nbo_charge|sasa|hbd,1.3517124953252595,0.6996560676961014
gap_ev|omega|sasa|hbd,1.3072107964741466,0.6939405638079479
omega|sasa|hbd|hba,1.3072183831098445,0.6939396415182858
omega|sasa|4and5|hbd,1.3072106598822604,0.69393935187865
homo_ev|omega|sasa|hbd,1.3072258645871393,0.6939358637204609
omega|polar|sasa|hbd,1.307256164544081,0.6939130815572476
omega|o_nbo_charge|sasa|hbd,1.3088776110182174,0.6936895796154461
omega|sasa|3and6|hbd,1.3119676429757945,0.6916052579201002
omega|molecular_volume_A3|sasa|hbd,1.3295620926615943,0.6881264942285525
lumo_ev|molecular_volume_A3|h_nbo_charge|logp,1.2477120778079032,0.6832806420554072
omega|h_nbo_charge|4and5|hba,1.2921734045012343,0.6804262758981194
omega|h_nbo_charge|3and6|hba,1.2921808552980247,0.6804247214915335
omega|h_nbo_charge|polar|hba,1.2922002842582914,0.6804153922224343
omega|molecular_volume_A3|h_nbo_charge|hba,1.292202334600345,0.6804110765125508
homo_ev|omega|h_nbo_charge|hba,1.2931515454141187,0.6797086327897748
gap_ev|omega|h_nbo_charge|hba,1.303933483483991,0.6776700851383627
omega|h_nbo_charge|sasa|hba,1.306005192821083,0.6752000915807076
omega|molecular_volume_A3|h_nbo_charge|hbd,1.2629444570207122,0.6739409763101354
omega|h_nbo_charge|polar|hbd,1.2629404746864965,0.673940090426109
gap_ev|omega|h_nbo_charge|hbd,1.2629428925680746,0.6739398266209562
homo_ev|omega|h_nbo_charge|hbd,1.2629540188376056,0.6739388650812512
lumo_ev|omega|sasa|hbd,1.3698436206726317,0.6711374585522307
omega|h_nbo_charge|4and5|hbd,1.2745169550458784,0.6693327877161872
homo_ev|polar|sasa|hbd,1.3641064792249633,0.6650576034332898
lumo_ev|omega|h_nbo_charge|hbd,1.278836133944014,0.6637399992462493
omega|h_nbo_charge|logp|hba,1.3525584409990703,0.662534865039845
lumo_ev|h_nbo_charge|sasa|hba,1.336078525890496,0.6544856745232963
lumo_ev|sasa|3and6|hbd,1.47781973263129,0.6523179444207583
lumo_ev|sasa|4and5|hbd,1.477828034229579,0.6523144868988173
h_nbo_charge|o_nbo_charge|3and6|hbd,1.4463056649608443,0.6483102942349199
lumo_ev|molecular_volume_A3|sasa|hbd,1.492523352066642,0.6458762125317066
omega|dipole_moment_debye|h_nbo_charge|hbd,1.3306254156022683,0.643467800819515
omega|sasa|logp|hbd,1.4299716876843551,0.6410575016300877
lumo_ev|sasa|logp|hbd,1.507569380933397,0.6410359494375968
lumo_ev|sasa|hbd|hba,1.5059314606757142,0.6409999442222856
lumo_ev|o_nbo_charge|sasa|hbd,1.4955377772378209,0.6392387735489706
lumo_ev|polar|sasa|hbd,1.507604123359327,0.6381465914371769
homo_ev|lumo_ev|sasa|hbd,1.4669221600596871,0.635492627659777
lumo_ev|gap_ev|sasa|hbd,1.4751909061531554,0.6344535880120612
omega|dipole_moment_debye|h_nbo_charge|hba,1.401474249953612,0.6339670732655514
lumo_ev|sasa|hbd,1.52534767043096,0.6328253406334955
omega|h_nbo_charge|hbd|hba,1.345396898349519,0.6308338372504354
lumo_ev|h_nbo_charge|logp|hba,1.3429463852713752,0.6249111711792261
lumo_ev|h_nbo_charge|polar|hba,1.3429527608586465,0.6249072346702442
lumo_ev|gap_ev|h_nbo_charge|hba,1.34295445005863,0.6249047144907917
lumo_ev|molecular_volume_A3|h_nbo_charge|hba,1.3429552540485314,0.624904503231688
homo_ev|lumo_ev|h_nbo_charge|hba,1.3429548157466968,0.6249020248284636
homo_ev|gap_ev|sasa|hbd,1.2893116107110207,0.618649996703062
omega|sasa|hbd,1.461359865100512,0.61591571400863
lumo_ev|h_nbo_charge|4and5|hba,1.385896634757774,0.615080160944196
homo_ev|lumo_ev|h_nbo_charge|hbd,1.2983432069628411,0.6131800635578846
lumo_ev|omega|h_nbo_charge|hba,1.43081066067416,0.6116900463183039
lumo_ev|h_nbo_charge|3and6|hba,1.4102222601636203,0.6043609824853758
omega|h_nbo_charge|o_nbo_charge|hba,1.4400420980334565,0.6040242407474987
lumo_ev|dipole_moment_debye|h_nbo_charge|hba,1.40513904645171,0.5971338390222981
omega|h_nbo_charge|3and6|hbd,1.4663396127291697,0.582541852093029
lumo_ev|gap_ev|h_nbo_charge|hbd,1.3112527192173793,0.5798008885495862
homo_ev|molecular_volume_A3|sasa|hbd,1.5373319726841177,0.5707386277375914
lumo_ev|dipole_moment_debye|o_nbo_charge|sasa,1.6404576032291731,0.566672354442971
lumo_ev|dipole_moment_debye|sasa|4and5,1.6404900301119651,0.5666488228355067
lumo_ev|dipole_moment_debye|sasa,1.640491687545062,0.5666456467375682
lumo_ev|omega|dipole_moment_debye|sasa,1.6405026673848075,0.5666423989480691
lumo_ev|dipole_moment_debye|sasa|3and6,1.6422935423003464,0.5656377475388199
omega|h_nbo_charge|logp|hbd,1.3859781452254043,0.5636525756603216
gap_ev|omega|molecular_volume_A3|h_nbo_charge,1.622396383386807,0.5614522855815771
lumo_ev|molecular_volume_A3|sasa|hba,1.571868604702663,0.5502095211538252
lumo_ev|polar|sasa|hba,1.5718837994101704,0.5502059626944322
lumo_ev|sasa|3and6|hba,1.5718689871772316,0.550205519769464
lumo_ev|sasa|4and5|hba,1.5718745760827375,0.5502029722332304
lumo_ev|omega|sasa|hba,1.571888653762432,0.5501961779542781
homo_ev|lumo_ev|sasa|hba,1.5749664946324824,0.548561948254946
lumo_ev|dipole_moment_debye|sasa|logp,1.6619516241299364,0.5469560058744154
lumo_ev|omega|molecular_volume_A3|h_nbo_charge,1.635078809776525,0.5451965756147106
homo_ev|lumo_ev|dipole_moment_debye|sasa,1.6987867569552106,0.5421243332891342
lumo_ev|h_nbo_charge|hba,1.4302248197949758,0.5415898323116599
lumo_ev|h_nbo_charge|polar|logp,1.5063074403140984,0.5413483776871792
lumo_ev|gap_ev|sasa|hba,1.5928477377976822,0.5386901753503277
lumo_ev|molecular_volume_A3|h_nbo_charge|polar,1.6651284700588145,0.5386367970825028
lumo_ev|molecular_volume_A3|h_nbo_charge|3and6,1.673447820973717,0.5364507945172349
homo_ev|omega|molecular_volume_A3|h_nbo_charge,1.6747050452057255,0.5353089907895457
lumo_ev|dipole_moment_debye|sasa|hba,1.6140047372947184,0.5345946862381279
lumo_ev|h_nbo_charge|polar|hbd,1.4338600404397932,0.5300561640514884
homo_ev|lumo_ev|molecular_volume_A3|h_nbo_charge,1.705439544490088,0.5280937670620647
lumo_ev|h_nbo_charge|sasa|hbd,1.6489396354479515,0.5277977658196871
lumo_ev|dipole_moment_debye|h_nbo_charge|sasa,1.6875143334417453,0.5261943084328414
homo_ev|omega|sasa|hba,1.5991258271656246,0.5253255982454281
lumo_ev|molecular_volume_A3|h_nbo_charge|sasa,1.71010202651343,0.5250636471741543
dipole_moment_debye|o_nbo_charge|3and6|hbd,1.5876290994489202,0.5234555373070275
gap_ev|omega|dipole_moment_debye|sasa,1.733670275272311,0.5226905961482224
gap_ev|omega|sasa|hba,1.605286460871696,0.522554173108588
lumo_ev|dipole_moment_debye|molecular_volume_A3|sasa,1.7218159840400915,0.5206373085080545
omega|molecular_volume_A3|h_nbo_charge|o_nbo_charge,1.6975414567753215,0.5203005386404302
omega|molecular_volume_A3|h_nbo_charge|polar,1.7173387010588022,0.5188542740408151
omega|molecular_volume_A3|h_nbo_charge|3and6,1.71733191171449,0.5188510090973986
lumo_ev|molecular_volume_A3|h_nbo_charge|o_nbo_charge,1.6717823061017645,0.5178058851066528
lumo_ev|molecular_volume_A3|h_nbo_charge|hbd,1.476944444510078,0.5125501709938671
omega|molecular_volume_A3|h_nbo_charge|sasa,1.742332366869214,0.5083299262150052
lumo_ev|molecular_volume_A3|h_nbo_charge|4and5,1.7582787962401851,0.5080327752175648
lumo_ev|o_nbo_charge|sasa|hba,1.6563575890212086,0.5075309341815349
homo_ev|gap_ev|sasa|hba,1.592769303947314,0.5030951756591013
homo_ev|omega|dipole_moment_debye|sasa,1.7821341034633384,0.502949485590146
omega|molecular_volume_A3|h_nbo_charge|4and5,1.765835548886675,0.5028558354410403
lumo_ev|dipole_moment_debye|3and6|hbd,1.701776205367229,0.4968197453513836
lumo_ev|h_nbo_charge|hbd|hba,1.4804809666359684,0.4966440970846161
lumo_ev|dipole_moment_debye|h_nbo_charge|hbd,1.4520261237592809,0.491623092628085
lumo_ev|dipole_moment_debye|polar|sasa,1.7407485953406434,0.4913223042921344
lumo_ev|sasa|hba,1.6715786595325668,0.487563360295245
lumo_ev|sasa|logp|hba,1.664211342145644,0.4871972214347162
omega|h_nbo_charge|hbd,1.5882422591545575,0.4863200926918175
gap_ev|o_nbo_charge|3and6|hbd,1.6725222467662526,0.4847753680688698
omega|dipole_moment_debye|3and6|hbd,1.7260724112594117,0.4839516436840407
o_nbo_charge|3and6|hbd,1.693973374055032,0.4822419167768192
o_nbo_charge|polar|3and6|hbd,1.6786443006212366,0.4813174845029787
omega|sasa|logp|hba,1.6343994367406631,0.4812747040613289
omega|dipole_moment_debye|o_nbo_charge|sasa,1.809954738454404,0.4794015707995585
lumo_ev|h_nbo_charge|4and5|hbd,1.4938916799548945,0.4790717876970864
gap_ev|omega|h_nbo_charge|polar,1.7814107480347072,0.4781067885723414
lumo_ev|dipole_moment_debye|3and6,1.776793147934958,0.476959688038697
homo_ev|h_nbo_charge|polar|hbd,1.6191966325233595,0.4763640831598917
lumo_ev|h_nbo_charge|o_nbo_charge|hba,1.6352983249500823,0.4752388451046423
molecular_volume_A3|o_nbo_charge|3and6|hbd,1.6934782599793714,0.4729256828974846
lumo_ev|h_nbo_charge|polar|3and6,1.8080213820604465,0.4695236409492466
omega|dipole_moment_debye|sasa|4and5,1.824279787644062,0.4663151687245148
omega|h_nbo_charge|polar|logp,1.817766754080936,0.4651683392620076
omega|dipole_moment_debye|sasa|hba,1.7357567502020177,0.4637079291468665
lumo_ev|dipole_moment_debye|3and6|4and5,1.7977982740697371,0.4629082790503085
omega|dipole_moment_debye|molecular_volume_A3|sasa,1.8379201841930968,0.4626686705270224
omega|dipole_moment_debye|sasa|3and6,1.8307803299051075,0.4623755060223706
omega|dipole_moment_debye|sasa,1.829703780117578,0.4613351368000724
omega|sasa|4and5|hba,1.6987347237678347,0.4611091271215416
omega|sasa|3and6|hba,1.698767596005557,0.461094887971304
lumo_ev|h_nbo_charge|logp|hbd,1.560612870118888,0.4608325042006046
o_nbo_charge|3and6|hbd|hba,1.7181747776040666,0.4599174989921212
omega|h_nbo_charge|o_nbo_charge|hbd,1.822168494381106,0.4575610935285995
o_nbo_charge|3and6|4and5|hbd,1.7358995698750554,0.4531231755542798
homo_ev|omega|h_nbo_charge|polar,1.8401000189086496,0.4506554055410485
omega|polar|sasa|hba,1.7235774375869857,0.4506546840221195
lumo_ev|dipole_moment_debye|3and6|hba,1.8269754288566569,0.4492578769732853
omega|h_nbo_charge|polar|3and6,1.8360135063339904,0.4481555680128012
homo_ev|lumo_ev|h_nbo_charge|polar,1.8632843586021168,0.4470172146995973
homo_ev|molecular_volume_A3|3and6|hbd,1.6599695241357395,0.4464879782505866
homo_ev|gap_ev|h_nbo_charge|hba,1.585037489838644,0.445976514794677
homo_ev|o_nbo_charge|3and6|hbd,1.7737334495317103,0.4451986107792361
omega|molecular_volume_A3|sasa|hba,1.736291604260625,0.4436466481713454
lumo_ev|dipole_moment_debye|o_nbo_charge|3and6,1.832926995018097,0.4387322793891235
lumo_ev|dipole_moment_debye|h_nbo_charge|3and6,1.8226716642844607,0.4370481158967971
homo_ev|polar|3and6|hbd,1.6879777070704278,0.4353342971605062
lumo_ev|h_nbo_charge|polar|4and5,1.897011534922535,0.4347123698718201
lumo_ev|molecular_volume_A3|sasa|logp,1.8094963990194664,0.4300444618140215
omega|h_nbo_charge|polar|4and5,1.894562122142677,0.4259519820932251
lumo_ev|gap_ev|dipole_moment_debye|sasa,1.864841121556014,0.4229174722215004
lumo_ev|h_nbo_charge|hbd,1.4977564484653716,0.4210030975580233
homo_ev|gap_ev|molecular_volume_A3|sasa,1.8131241953490147,0.416189672267281
lumo_ev|o_nbo_charge|3and6|hbd,1.712442609266913,0.4154769284857094
omega|sasa|hba,1.8973168880341704,0.4135207188369285
lumo_ev|dipole_moment_debye|3and6|logp,1.8413159482241024,0.4087660143944859
omega|o_nbo_charge|3and6|hbd,1.6908612505528977,0.4059560907212752
lumo_ev|gap_ev|sasa,1.8962140036530504,0.4021152013013855
homo_ev|lumo_ev|omega|sasa,1.896230828001028,0.4021083500860445
homo_ev|lumo_ev|gap_ev|sasa,1.896230828141592,0.4021083499833927
homo_ev|lumo_ev|sasa|logp,1.896231281350326,0.4021081997893845
lumo_ev|sasa|3and6,1.8962310481341065,0.4021076236324398
lumo_ev|sasa|logp,1.8962310481438072,0.4021076236286308
homo_ev|lumo_ev|sasa|3and6,1.896228231067872,0.402107377378756
lumo_ev|omega|sasa|3and6,1.896234842307996,0.4021073608011254
lumo_ev|sasa|3and6|logp,1.896232959428349,0.4021069216715407
