descriptor,mae,r2
dipole_moment_debye,1.5540678402140795,-0.01694935665816355
nbo_charge,1.5996108789129009,-0.0412966611711969
3and6,1.5754868309460315,-0.16307731083203425
4and5,1.6602894922023874,-0.26977489388081644
delta_g_hartree,1.5831835675886483,-0.148932106700018
molecular_volume_A3,1.5680346803988152,-0.14275588741908796
lumo_ev,1.5454413801235194,0.09047943308770878
homo_ev,1.6257760462308328,-0.15010868380606368
gap_ev,1.5520044411751563,-0.10343882883398048
dipole_moment_debye|nbo_charge,1.64563183849067,-0.2069512853915998
dipole_moment_debye|3and6,1.6780223806118408,-0.46688284888578746
dipole_moment_debye|4and5,1.7103745418874303,-0.40718185678171137
dipole_moment_debye|delta_g_hartree,1.5957418742054377,-0.12050251056645611
dipole_moment_debye|molecular_volume_A3,1.6262024832111475,-0.3886904467550709
dipole_moment_debye|lumo_ev,1.6628502577600326,-0.11999460114298355
dipole_moment_debye|homo_ev,1.5835369759069624,-0.05124842636661753
dipole_moment_debye|gap_ev,1.5234313338996948,-0.0010340826650432344
nbo_charge|3and6,1.7254361184375844,-0.7816704311468421
nbo_charge|4and5,1.625526822462625,-0.20087304699487984
nbo_charge|delta_g_hartree,1.5625687021639814,-0.0658216141056911
nbo_charge|molecular_volume_A3,1.4536832276383418,0.22011197426400708
nbo_charge|lumo_ev,1.542710820416625,0.12749832702726727
nbo_charge|homo_ev,1.6030875995401586,-0.03206457418493036
nbo_charge|gap_ev,1.6116296750072365,-0.09898429280425969
3and6|4and5,1.640369205680631,-0.28430949093580127
3and6|delta_g_hartree,1.5070118054135964,0.09343914230224415
3and6|molecular_volume_A3,1.6104455096585792,-0.26711088202483557
3and6|lumo_ev,1.5876729307197075,-0.035598361698455205
3and6|homo_ev,1.5885673667175586,-0.07030747386328495
3and6|gap_ev,1.575487580610728,-0.16307927498874775
4and5|delta_g_hartree,1.683101354653758,-0.32512640026965234
4and5|molecular_volume_A3,1.669114207034175,-0.29620402058951734
4and5|lumo_ev,1.5663383609425265,0.020139630802598396
4and5|homo_ev,1.7004624486784081,-0.31426294630424345
4and5|gap_ev,1.6615324194595513,-0.27515047606263643
delta_g_hartree|molecular_volume_A3,1.5729395898679857,-0.1468289039373194
delta_g_hartree|lumo_ev,1.6138812228511705,-0.06038566470341311
delta_g_hartree|homo_ev,1.6257841840074831,-0.15012264712692414
delta_g_hartree|gap_ev,1.5540805657318018,-0.10504122629620327
molecular_volume_A3|lumo_ev,1.5454377382840787,0.09048518681186868
molecular_volume_A3|homo_ev,1.625777781218913,-0.15011053329702673
molecular_volume_A3|gap_ev,1.5680345461111749,-0.1427548058076491
lumo_ev|homo_ev,1.554771745203253,0.04707403460492843
lumo_ev|gap_ev,1.5547731180014723,0.047070900540987726
homo_ev|gap_ev,1.6513483649624994,-0.18797728929377766
dipole_moment_debye|nbo_charge|3and6,1.6001126521936553,-0.08854999470451785
dipole_moment_debye|nbo_charge|4and5,1.7004813614488483,-0.2883356922415037
dipole_moment_debye|nbo_charge|delta_g_hartree,1.5931468691945014,-0.025407128220782615
dipole_moment_debye|nbo_charge|molecular_volume_A3,1.6968537596521327,-0.21889686886198434
dipole_moment_debye|nbo_charge|lumo_ev,1.4640995757685218,0.28366757457290015
dipole_moment_debye|nbo_charge|homo_ev,1.5849464341445534,-0.003014511867009295
dipole_moment_debye|nbo_charge|gap_ev,1.5876291597972725,-0.010121797975239488
dipole_moment_debye|3and6|4and5,1.5736401798918607,-0.11758487973153908
dipole_moment_debye|3and6|delta_g_hartree,1.6297999405301131,-0.1514315076298105
dipole_moment_debye|3and6|molecular_volume_A3,1.5691261832458032,-0.09832109635771369
dipole_moment_debye|3and6|lumo_ev,1.5187370036356391,0.1381214658334443
dipole_moment_debye|3and6|homo_ev,1.624820504307547,-0.16079512073679614
dipole_moment_debye|3and6|gap_ev,1.5498879605461842,-0.02712793589388296
dipole_moment_debye|4and5|delta_g_hartree,1.657462542387241,-0.28154349586381455
dipole_moment_debye|4and5|molecular_volume_A3,1.6474611862700286,-0.2094864633390059
dipole_moment_debye|4and5|lumo_ev,1.4920784073052453,0.19027738760160107
dipole_moment_debye|4and5|homo_ev,1.6388085744949188,-0.23060934516434517
