cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,omega,dipole_moment_debye,molecular_volume_A3,h_nbo_charge,o_nbo_charge,polar,sasa,3and6,4and5,logp,hbd,hba,mu,sigma,ei
88-99-3,O=C(O)C=1C=CC=CC1C(=O)O,12.0,17.0,-8.984110888108,-0.6887201556155,8.2953907324925,2.8197484427688977,1.2822034393964166,139.36000000000004,0.53177,-0.66663,148.1550736,186.1574821599933,0,0,1.083,2.0,2.0,13.835186838454376,1.9310606974591797,0.007034647250372297
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15.0,19.0,-9.4061594702335,-1.8996267903405,7.506532679892999,4.256985495852321,4.908302645518102,162.20000000000005,0.53835,-0.64676,174.16463066666665,173.77697112917815,1,0,0.9912,2.0,4.0,12.826357714745768,2.073936947209211,0.0027618058518701152
610-35-5,O=C(O)C1=CC=C(O)C=C1C(=O)O,13.0,18.0,-8.289948455482499,-0.5039548511259999,7.785993604356499,2.483072145175854,2.963805116737604,147.14400000000003,0.53324,-0.66097,157.7776031,186.8990096392595,0,1,0.7886,3.0,3.0,12.015498688338113,1.8999141856802542,0.00024433435756255
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15.0,19.0,-9.4339150829845,-1.997859890371,7.4360551926135,4.393642719706132,6.39552193726204,162.72800000000004,0.53739,-0.64925,174.77171633333333,187.00675119298228,0,1,0.9912,2.0,4.0,14.154939630764204,2.1236188326091536,0.02100775790268479
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,20.0,18.0,-9.2075163593685,-1.152130043017,8.0553863163515,3.330761225088828,1.9379577007767737,166.96800000000005,0.53528,-0.65516,174.987838,186.09190747153525,0,1,0.7811999999999999,3.0,3.0,14.91032139170295,1.9128999924336922,0.03006434252848053
89-05-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)O,20.0,23.0,-9.337858893758002,-1.4568975555769998,7.8809613381810015,3.6964642319687817,3.419398349125179,195.0480000000001,0.53569,-0.65158,200.623436,185.9904108528732,0,2,0.4794000000000001,4.0,4.0,14.813894447058573,1.9198517659784764,0.02703652721831863
1885-13-8,O=C(O)C1=CC=C(OC)C=C1C(=O)O,14.0,21.0,-8.170218361262501,-0.5477651810565,7.622453180206001,2.492742009931602,3.7278227640272816,164.19200000000004,0.53269,-0.66232,175.53717500000002,186.9281764623113,0,1,1.0916,2.0,3.0,11.610907309958293,1.893253991290336,0.00010119453285215431
569-51-7,O=C(O)C1=CC=CC(C(=O)O)=C1C(=O)O,20.0,19.0,-9.184386682076,-0.7714427661675001,8.4129439159085,2.94541782856426,2.4828779692123413,166.56000000000003,0.53638,-0.65415,173.87504966666663,172.5591806954674,1,0,0.7811999999999999,3.0,3.0,11.098723289796851,1.954012068447019,5.615048281268765e-05
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,13.0,17.0,-8.694581751176,-0.849539441261,7.845042309915001,2.902796624206862,1.3731690864565804,158.96800000000005,0.53364,-0.65843,174.07921866666666,186.50922823371084,0,1,1.8455,2.0,2.0,14.314571249871278,1.921218763500653,0.013718125905249443
1583-67-1,O=C(O)C=1C=CC=C(F)C1C(=O)O,13.0,17.0,-8.899211366752,-0.792395532656,8.106815834096,2.8965516861012635,1.953368887332856,144.00000000000003,0.53604,-0.64923,145.66907923333335,184.02536886364527,1,0,1.2221,2.0,2.0,11.548661043360454,1.9709107342603445,0.0001608898884407112
