cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
88-99-3,O=C(O)C=1C=CC=CC1C(=O)O,12,17,-8.984110888108,-0.6887201556155,8.2953907324925,1.2822034393964166,0,0,13.964891008114506,1.9508984582651623,0.009217260141738334
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15,19,-9.4061594702335,-1.8996267903405,7.506532679892999,4.908302645518102,1,0,12.972422587218773,2.0908634745302486,0.003717260392091061
610-35-5,O=C(O)C1=CC=C(O)C=C1C(=O)O,13,18,-8.289948455482499,-0.5039548511259999,7.785993604356499,2.963805116737604,0,1,12.082860821841393,1.9156093879409548,0.00031139902434429044
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15,19,-9.4339150829845,-1.997859890371,7.4360551926135,6.39552193726204,0,1,14.004959995864965,2.1455507500977182,0.01858589658633371
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,20,18,-9.2075163593685,-1.152130043017,8.0553863163515,1.9379577007767737,0,1,14.995287376359542,1.9295282104567735,0.03508610594144915
89-05-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)O,20,23,-9.337858893758002,-1.4568975555769998,7.8809613381810015,3.419398349125179,0,2,14.825714233476774,1.9345426116256454,0.028634866889029664
1885-13-8,O=C(O)C1=CC=C(OC)C=C1C(=O)O,14,21,-8.170218361262501,-0.5477651810565,7.622453180206001,3.7278227640272816,0,1,11.641274270459945,1.9078632003055016,0.00012095107228289495
569-51-7,O=C(O)C1=CC=CC(C(=O)O)=C1C(=O)O,20,19,-9.184386682076,-0.7714427661675001,8.4129439159085,2.4828779692123413,1,0,11.43300980743156,1.9917263373636067,0.0001489651263909238
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,13,17,-8.694581751176,-0.849539441261,7.845042309915001,1.3731690864565804,0,1,14.434154187535583,1.9400272416075923,0.01726692263839341
1583-67-1,O=C(O)C=1C=CC=C(F)C1C(=O)O,13,17,-8.899211366752,-0.792395532656,8.106815834096,1.953368887332856,1,0,11.905489885215857,2.0121657868585414,0.0004195574361334992
137071-78-4,O=C(O)C1=CC(Cl)=C(C(=O)O)C(C(=O)O)=C1Cl,20,19,-8.825196399416,-1.06668629396,7.758510105456001,2.2478380969278016,2,1,10.477947864286193,2.3071376565581176,0.00021464548182007458
651-97-8,O=C(O)C=1C(F)=CC=C(F)C1C(=O)O,14,17,-8.8450607105025,-0.8704922077495,7.974568502753,0.918522019333233,2,0,10.85379175701803,2.404307450353221,0.0006693209115225468
320-97-8,O=C(O)C1=CC=C(F)C=C1C(=O)O,13,17,-8.936490964270499,-0.7039585312435,8.232532433026998,1.1932017474006649,0,1,14.079060489139195,1.9549434691810539,0.011037369741639477
5434-20-8,O=C(O)C=1C=CC=C(N)C1C(=O)O,13,19,-7.4741511316835005,-0.611711935924,6.8624391957595,3.508018085757256,1,0,10.08857383712801,1.9867370944025957,8.17068087779395e-06
2169-87-1,O=C(O)C1=CC=2C=CC=CC2C=C1C(=O)O,16,23,-7.8404163744565,-0.6898086110175,7.150607763439,2.5326000098712784,0,2,13.053787299469818,1.9024688081711554,0.0017274170721713021
22803-05-0,O=C(O)C1=CC=C(C=C1C(=O)O)C=2C=CC(C(=O)O)=C(C2)C(=O)O,24,28,-8.358249031958,-1.2304988319610002,7.127750199996999,4.30511465700973,0,1,13.460411703358815,1.9156079566802964,0.003653540310119715
116-69-8,O=C(O)C=1C=CC=C(Br)C1C(=O)O,13,17,-8.68587410796,-0.8209674869585,7.8649066210015,2.104034004002787,1,0,11.88614980693221,2.0035200898353036,0.0003832936804141025
3786-46-7,O=C(O)C=1C(O)=CC=C(O)C1C(=O)O,14,19,-7.778102302692,-1.119476380957,6.658625921735,2.548500580733699,2,0,10.412635446124796,2.2948514858164595,0.00017810897214714117
89-20-3,O=C(O)C1=CC=C(Cl)C=C1C(=O)O,13,17,-8.809958023787999,-0.8269539916695,7.983004032118499,1.3735086202860178,0,1,14.359885532593026,1.9401596914547339,0.015589711518944976
4316-23-8,O=C(O)C1=CC=C(C=C1C(=O)O)C,13,17,-8.641791664179,-0.6157936436815,8.0259980204975,2.25191052442143,0,1,13.010736589318412,1.9158248601619663,0.0017205170379356038
14963-97-4,O=C(O)C=1C=CC=C(OC)C1C(=O)O,14,21,-8.1065437202455,-0.6353858409174999,7.471157879328,4.315474756037856,1,0,9.519426614351445,1.9840450232557651,2.0758180094413754e-06
10351-75-4,O=C(O)C1=CC=2N=CNC2C=C1C(=O)O,15,20,-8.3073637419145,-0.4408244378099999,7.8665393041045,6.223521663013635,0,2,9.237469273350243,2.026339179472981,1.6890294464106116e-06
632-58-6,O=C(O)C=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1C(=O)O,16,17,-8.8733605509545,-0.945323516637,7.9280370343175,2.563406620105363,2,2,9.85476625915365,2.294372787526013,6.675819148616968e-05
37141-01-8,O=C(O)C1=CC(N)=CC(C(=O)O)=C1C(=O)O,22,21,-7.6542905007145,-0.759197642895,6.8950928578195,7.848272277386916,1,1,7.008151666168914,2.1825684933055047,4.769297243250424e-08
835-58-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(F)(F)F,16,20,-9.2728236834885,-0.9341668487665,8.338656834722,3.5849786066307283,0,1,13.06918200498751,1.889629666483696,0.0016569527148985463
37102-74-2,O=C(O)C1=CC=CC(=C1C(=O)O)C,13,17,-8.6164850760825,-0.5902149417345001,8.026270134348,2.639867636833332,1,0,10.69929173386619,2.007654608351532,3.785466103692608e-05
201730-11-2,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.631995565561,-0.782599434038,7.849396131523001,2.574404770039086,0,1,13.336183323540084,1.8974844074235102,0.0027297953810579492
