cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5,mu,sigma,ei
88-99-3,O=C(O)C=1C=CC=CC1C(=O)O,12,17,-8.984110888108,-0.6887201556155,8.2953907324925,1.2822034393964166,0,0,12.028349438696296,1.9683474854523177,0.00047107597977909775
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15,19,-9.4061594702335,-1.8996267903405,7.506532679892999,4.908302645518102,1,0,7.527035293837528,3.2607075667759626,0.00046464744276846284
610-35-5,O=C(O)C1=CC=C(O)C=C1C(=O)O,13,18,-8.289948455482499,-0.5039548511259999,7.785993604356499,2.963805116737604,0,1,9.188919469953419,2.2728621887239164,1.935592245183099e-05
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15,19,-9.4339150829845,-1.997859890371,7.4360551926135,6.39552193726204,0,1,6.537521759893721,4.1787714411420875,0.0033054756907431905
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,20,18,-9.2075163593685,-1.152130043017,8.0553863163515,1.9379577007767737,0,1,11.81386474158478,2.087848085707755,0.0006586480678735535
89-05-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)O,20,23,-9.337858893758002,-1.4568975555769998,7.8809613381810015,3.419398349125179,0,2,10.069503115263458,2.502885669933636,0.0003928238265262004
1885-13-8,O=C(O)C1=CC=C(OC)C=C1C(=O)O,14,21,-8.170218361262501,-0.5477651810565,7.622453180206001,3.7278227640272816,0,1,8.107811508096646,2.52634292534398,1.8800025519217947e-05
569-51-7,O=C(O)C1=CC=CC(C(=O)O)=C1C(=O)O,20,19,-9.184386682076,-0.7714427661675001,8.4129439159085,2.4828779692123413,1,0,9.328721994278254,2.181918938333722,1.1864204273667744e-05
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,13,17,-8.694581751176,-0.849539441261,7.845042309915001,1.3731690864565804,0,1,12.16046573948067,1.987198228272885,0.0006726799226336819
1583-67-1,O=C(O)C=1C=CC=C(F)C1C(=O)O,13,17,-8.899211366752,-0.792395532656,8.106815834096,1.953368887332856,1,0,10.159883725475112,2.082410298407932,2.7884005104986142e-05
137071-78-4,O=C(O)C1=CC(Cl)=C(C(=O)O)C(C(=O)O)=C1Cl,20,19,-8.825196399416,-1.06668629396,7.758510105456001,2.2478380969278016,2,1,9.092189250804438,2.254691640625082,1.3783966078409233e-05
651-97-8,O=C(O)C=1C(F)=CC=C(F)C1C(=O)O,14,17,-8.8450607105025,-0.8704922077495,7.974568502753,0.918522019333233,2,0,10.732452243414642,2.073677280920185,8.23359859885007e-05
320-97-8,O=C(O)C1=CC=C(F)C=C1C(=O)O,13,17,-8.936490964270499,-0.7039585312435,8.232532433026998,1.1932017474006649,0,1,12.184342222294774,1.9605256298835232,0.0005980723270933826
5434-20-8,O=C(O)C=1C=CC=C(N)C1C(=O)O,13,19,-7.4741511316835005,-0.611711935924,6.8624391957595,3.508018085757256,1,0,7.51217133871063,2.462141376648718,3.7524524125271194e-06
2169-87-1,O=C(O)C1=CC=2C=CC=CC2C=C1C(=O)O,16,23,-7.8404163744565,-0.6898086110175,7.150607763439,2.5326000098712784,0,2,10.159892482911943,2.1722333427215172,5.708344396995074e-05
22803-05-0,O=C(O)C1=CC=C(C=C1C(=O)O)C=2C=CC(C(=O)O)=C(C2)C(=O)O,24,28,-8.358249031958,-1.2304988319610002,7.127750199996999,4.30511465700973,0,1,8.377645423892517,2.8288453039320283,0.00018730166271307578
116-69-8,O=C(O)C=1C=CC=C(Br)C1C(=O)O,13,17,-8.68587410796,-0.8209674869585,7.8649066210015,2.104034004002787,1,0,9.98175755167992,2.109738174773904,2.434314314777561e-05
3786-46-7,O=C(O)C=1C(O)=CC=C(O)C1C(=O)O,14,19,-7.778102302692,-1.119476380957,6.658625921735,2.548500580733699,2,0,8.730255604487056,2.324504576793599,1.2174546448475983e-05
