cas,smiles,h1,h2
88-99-3,O=C(O)C=1C=CC=CC1C(=O)O,12,17
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15,19
610-35-5,O=C(O)C1=CC=C(O)C=C1C(=O)O,13,18
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15,19
18959-31-4,O=C(O)C1=CC(F)=C(F)C=C1C(=O)O,14,17
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,20,18
89-05-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)O,20,23
1885-13-8,O=C(O)C1=CC=C(OC)C=C1C(=O)O,14,21
569-51-7,O=C(O)C1=CC=CC(C(=O)O)=C1C(=O)O,20,19
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,13,17
1583-67-1,O=C(O)C=1C=CC=C(F)C1C(=O)O,13,17
56962-08-4,O=C(O)C1=CC(Cl)=C(Cl)C=C1C(=O)O,14,17
5434-21-9,O=C(O)C1=CC=C(N)C=C1C(=O)O,13,19
137071-78-4,O=C(O)C1=CC(Cl)=C(C(=O)O)C(C(=O)O)=C1Cl,20,19
651-97-8,O=C(O)C=1C(F)=CC=C(F)C1C(=O)O,14,17
652-03-9,O=C(O)C=1C(F)=C(F)C(F)=C(F)C1C(=O)O,16,17
320-97-8,O=C(O)C1=CC=C(F)C=C1C(=O)O,13,17
5434-20-8,O=C(O)C=1C=CC=C(N)C1C(=O)O,13,19
2169-87-1,O=C(O)C1=CC=2C=CC=CC2C=C1C(=O)O,16,23
22803-05-0,O=C(O)C1=CC=C(C=C1C(=O)O)C=2C=CC(C(=O)O)=C(C2)C(=O)O,24,28
116-69-8,O=C(O)C=1C=CC=C(Br)C1C(=O)O,13,17
3786-46-7,O=C(O)C=1C(O)=CC=C(O)C1C(=O)O,14,19
89-20-3,O=C(O)C1=CC=C(Cl)C=C1C(=O)O,13,17
4316-23-8,O=C(O)C1=CC=C(C=C1C(=O)O)C,13,17
14963-97-4,O=C(O)C=1C=CC=C(OC)C1C(=O)O,14,21
6301-60-6,O=C(O)C1=CC=C(I)C=C1C(=O)O,13,17
10351-75-4,O=C(O)C1=CC=2N=CNC2C=C1C(=O)O,15,20
632-58-6,O=C(O)C=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1C(=O)O,16,17
6937-34-4,O=C(O)C=1C=CC=C(I)C1C(=O)O,13,17
37141-01-8,O=C(O)C1=CC(N)=CC(C(=O)O)=C1C(=O)O,22,21
835-58-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(F)(F)F,16,20
27485-15-0,O=C(O)C=1C=C2C(=O)C=3C=CC=CC3C(=O)C2=CC1C(=O)O,22,29
37102-74-2,O=C(O)C1=CC=CC(=C1C(=O)O)C,13,17
201730-11-2,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21
1585-40-6,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C(=O)O)C1C(=O)O,25,24
475205-49-3,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)N(CC=2C=CC=C(OC=3C=CC=CC3)C2)C4C=5C=CC=CC5CCC4,42,46
517-60-2,O=C(O)C=1C(C(=O)O)=C(C(=O)O)C(C(=O)O)=C(C(=O)O)C1C(=O)O,28,27
601-97-8,O=C(O)C=1C=CC=C(O)C1C(=O)O,13,18
27563-65-1,O=C(O)C=1C=CC=C(Cl)C1C(=O)O,13,17
3807-81-6,O=C(O)C=1C=C(C=C(C(=O)O)C1C(=O)O)N(=O)=O,22,21
2479-49-4,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,26,30
24063-28-3,O=C(O)C1=CC(Br)=C(Br)C=C1C(=O)O,14,17
15371-06-9,O=C(O)C=1C=CC=C(NC(=O)C)C1C(=O)O,16,24
135989-69-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)C=2C=CC=CC2,23,27
577-68-4,O=C(O)C1=CC(OC)=C(OC)C=C1C(=O)O,16,25
7717-76-2,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,25,34
5680-10-4,O=C(O)C=1C=C(C(=CC1C(=O)O)C)C,14,17
1072946-35-0,O=C(O)C1=CC=C(C=C1C(=O)O)B(O)O,15,19
14236-13-6,O=C(O)C1=CC=C(C=C1C(=O)O)C(C)(C)C,16,20
2408642-17-9,O=C(O)C1=CC=C(Br)C(F)=C1C(=O)O,14,17
344309-11-1,O=C(O)C1=CC(Br)=CC(F)=C1C(=O)O,14,17
62268-16-0,O=C(O)C=1C(Cl)=CC(Cl)=C(Cl)C1C(=O)O,15,17
41819-13-0,O=C(O)C=1C(Br)=C(C(=O)O)C(C(=O)O)=C(Br)C1C(=O)O,21,22
3016-76-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(C2=CC=C(C(=O)O)C(=C2)C(=O)O)(C(F)(F)F)C(F)(F)F,33,37
89-08-7,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)O,16,20
37951-15-8,O=C(O)C1=CC=C(OC=2C=CC=CC2)C=C1C(=O)O,19,28
56962-06-2,O=C(O)C1=CC=C(Cl)C(Cl)=C1C(=O)O,14,17
87639-56-3,O=C(O)C1=CC=C(C#C)C=C1C(=O)O,14,19
56896-91-4,O=C(O)C1=CC=C(C=C1C(=O)O)N2C(=O)C=CC2=O,19,23
1185302-72-0,O=C(O)C=1C=CC=C(NC(=O)OC(C)(C)C)C1C(=O)O,20,34
2828433-78-7,O=C(O)C1=CC=C(F)C(Br)=C1C(=O)O,14,17
25641-98-9,O=C(O)C=1C=C(Cl)C=C(Cl)C1C(=O)O,14,17
2167659-32-5,O=C(O)C=1C(F)=CC=C(Br)C1C(=O)O,14,17
16110-99-9,O=C(O)C=1C(Cl)=CC=C(Cl)C1C(=O)O,14,17
62268-15-9,O=C(O)C1=CC(Cl)=C(Cl)C(Cl)=C1C(=O)O,15,17
675139-09-0,O=C(O)C1=CC=C(C=C1C(=O)O)CNC(=O)OC(C)(C)C,21,25
10210-28-3,O=C(O)C=1C=C2C=C3C=CC=CC3=CC2=CC1C(=O)O,20,29
92971-15-8,O=C(O)C1=CC=C(C(=C1C(=O)O)N(=O)=O)N(=O)=O,18,21
18959-91-6,O=C(O)C1=CC=C(OC2=CC=CC(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)=C2)C=C1C(=O)O,32,45
1824411-98-4,O=C(O)C=1C=C2C(=CC1C(=O)O)CN(C(=O)OC(C)(C)C)C2,22,25
623904-16-5,O=C(O)C=1C=CC(=CC1)C2=CC(C(=O)O)=C(C=C2C3=CC=C(C=C3)C(=O)O)C(=O)O,36,43
21278-45-5,O=C(O)C1=CC=C(N=NC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1C(=O)O,26,35
51307-74-5,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)S(=O)(=O)O,19,23
3885-88-9,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C=2C=CC=CC2,20,24
1868072-45-0,O=C(O)C=1C=C(C=C(C1)C2=CC=C(C(=O)O)C(=C2)C(=O)O)C(=O)O,32,30
63958-66-7,O=C(O)C1=CC(O)=C(O)C=C1C(=O)O,14,19
50276-60-3,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1C(=O)O,18,29
1245212-48-9,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)C=2C=CN=CC2,21,25
476-73-3,O=C(O)C1=CC=C(C(=O)O)C(C(=O)O)=C1C(=O)O,22,21
1092449-37-0,O=C(O)C1=CC=C(F)C(F)=C1C(=O)O,14,17
937647-86-4,O=C(O)C1=CC(Cl)=C(Br)C=C1C(=O)O,14,17
13810-83-8,O=C(O)C=1C(Br)=C(Br)C(Br)=C(Br)C1C(=O)O,16,17
499793-28-1,O=C(O)C1=CC(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)=CC(=C1)C(=O)O,31,29
90348-28-0,O=C(O)C=1C=C(C(=CC1C(=O)O)N(=O)=O)N(=O)=O,18,21
518-90-1,O=C(O)C1=CC=C(OC)C(OC)=C1C(=O)O,16,25
82520-79-4,O=C(O)C1=CC=C(S)C=C1C(=O)O,13,18
144876-16-4,O=CC1=CC=C(C(=O)O)C(=C1)C(=O)O,19,17
13124-84-0,O=C(O)C=1C=C(C(=O)O)C(=CC1Br)C(=O)O,18,20
22179-20-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)N,16,20
82679-28-5,O=C(O)C1=CC(I)=C(I)C=C1C(=O)O,14,17
2300-16-5,O=C(O)C1=C(C(=O)O)C(=CC=C1N(=O)=O)N(=O)=O,19,18
2639451-53-7,O=C(O)C1=CC=C(C=C1C(=O)O)NC(=O)OC(C)(C)C,20,24
444717-58-2,O=C(O)C1=CC=C(OC=2C=C(OC3=CC=C(C(=O)O)C(=C3)C(=O)O)C=C(OC4=CC=C(C(=O)O)C(=C4)C(=O)O)C2)C=C1C(=O)O,45,62
1417569-13-1,O=C(O)C=1C(Br)=CC=C(Br)C1C(=O)O,14,17
53812-59-2,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1C(=O)O)C(F)(F)F,24,25
479-47-0,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1)C(=O)O,23,21
1170416-53-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OCC,17,21
63181-80-6,O=C(O)C=1C=CC=C(OC2=CC=C(C=C2)C)C1C(=O)O,20,31
1323408-36-1,O=C(O)C=1C=CC=C(OCC2=CC=C(C=C2)CO)C1C(=O)O,22,35
209324-65-2,O=C(O)C1=CC=C(C(NC(=O)C)=C1C(=O)O)N(=O)=O,19,26
4445-58-3,O=C(O)C=1C=CC(=CC1C(=O)O)C=2C=CC=CC2,18,22
2612386-56-6,O=C(O)C1=CC(F)=C(Br)C=C1C(=O)O,14,17
99807-59-7,O=C(O)C=1C=C(C(=O)O)C(=CC1Cl)C(=O)O,18,20
176796-64-8,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21
2080747-16-4,O=C(O)C1=CC=C(Cl)C(=C1C(=O)O)N(=O)=O,16,19
4277-02-5,O=C(O)C=1C=C(C=C(C1C(=O)O)N(=O)=O)N(=O)=O,18,21
4961-03-9,O=C(O)C=1C=C(C(=O)O)C(=CC1O)C(=O)O,18,21
57296-46-5,O=C(O)C1=CC(OC)=C(Cl)C(Cl)=C1C(=O)O,16,21
2248293-20-9,O=C(O)C1=CC=C(C=C1C(=O)O)CC(NC(=O)OC(C)(C)C)C,23,27
2088-87-1,O=C(O)C=1C=CC=2C=CC=CC2C1C(=O)O,16,23
103203-38-9,O=C(O)C1=CC(OC)=CC(=C1C(=O)O)C,15,21
219537-88-9,O=C(O)C1=CC=C(C#CC=2C=CC=CC2)C=C1C(=O)O,20,29
76284-57-6,O=C(O)C1=CC=C(F)C(=C1C(=O)O)C(F)(F)F,17,20
325780-76-5,O=C(O)C1=C(OCC)C=2C=CC=CC2C(OCC)=C1C(=O)O,22,37
402598-26-9,O=C(O)C1=CC=C(OC2=CC=C(C=C2)NC(=O)COC=3C=CC=CC3)C=C1C(=O)O,30,46
22037-61-2,O=C(O)C1=CC=C(C=C)C=C1C(=O)O,14,21
137023-78-0,O=C(O)C=1C=C(C(=CC1C(=O)O)CC)CC,16,19
201730-10-1,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21
76284-58-7,O=C(O)C=1C(Cl)=CC=C(C1C(=O)O)C(F)(F)F,17,20
185049-54-1,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)N(CC=2C=CC=C(OC3=CC=C(C=C3)C)C2)CC=4C=CC=CC4OCC,43,47
82784-82-5,O=C(O)C1=CC=C(O)C(O)=C1C(=O)O,14,19
2384497-19-0,O=C(O)C1=CC(O)=C(N)C=C1C(=O)O,14,20
861555-37-5,O=C(O)C1=CC=C(C(OC)=C1C(=O)O)C,15,21
202262-76-8,O=C(O)C=1C=CC=C(NO)C1C(=O)O,14,20
7717-74-0,O=C(O)C1=CC=C(OC2=CC=C(C(=O)O)C(=C2)C(=O)O)C=C1,29,27
1301739-50-3,O=C(O)C1=CC(Cl)=C(C=C1C(=O)O)C(F)(F)F,17,20
889943-38-8,O=C(O)C1=CC(N)=C(N)C=C1C(=O)O,14,21
84029-87-8,O=C(O)C=1C=C(C(=CC1C(=O)O)C(C)C)C,16,19
169739-72-4,O=C(O)C1=CC=C(C=C1C(=O)O)NN,14,18
1236108-27-2,O=C(O)C1=CC(N=NC=2C=C(C(=O)O)C(C(=O)O)=C(C2)C(=O)O)=CC(C(=O)O)=C1C(=O)O,41,40
38103-05-8,O=C(O)C1=CC=C(OC2=CC=C(C=C2)C(C3=CC=C(OC4=CC=C(C(=O)O)C(=C4)C(=O)O)C=C3)(C)C)C=C1C(=O)O,41,64
1257323-85-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(NC(=O)OC(C=2C=CC=CC2N(=O)=O)C)C(=O)O,31,35
15979-35-8,O=C(O)C1=C(O)C=C2C(=O)C3=C(O)C(O)=C(C(O)=C3C(=O)C2=C1C(=O)O)C4=CC(=CC=C4O)CCNC(=O)C,39,45
830320-86-0,N#CC1=CC=C(C(=O)O)C(=C1)C(=O)O,18,16
106860-70-2,O=NC1=CC=CC(C(=O)O)=C1C(=O)O,18,17
444288-77-1,O=C(O)C=1C=CC=C(NCC=2C=NC=CC2)C1C(=O)O,20,31
128298-23-7,O=C(O)C=1C(C(=O)O)=C(C(C(=O)O)=C(C(=O)O)C1C(F)(F)F)C(F)(F)F,29,28
1185300-97-3,O=C(O)C=1C=CC=C(NC(=O)OCC2C=3C=CC=CC3C=4C=CC=CC42)C1C(=O)O,30,46
769908-43-2,O=C(O)C1=CC=C(C(N)=C1C(=O)O)C,14,19
28749-88-4,O=C(O)C1=C(F)C(F)=C(O)C(F)=C1C(=O)O,16,18
51419-12-6,O=C(O)C1=CC=C(OS(=O)(=O)C=2C=CC=CC2)C=C1C(=O)O,22,31
945681-56-1,O=C(O)C=1C=C2C(=CC1C(=O)O)C3C4=CC(C(=O)O)=C(C=C4C2C5=CC(C(=O)O)=C(C=C53)C(=O)O)C(=O)O,38,41
14597-16-1,O=C(O)C1=C(O)C=C2C(=O)C3=C(O)C(O)=C(C(O)=C3C(=O)C2=C1C(=O)O)C4=CC(=CC=C4O)CCN,36,42
6274-40-4,O=C(O)C1=CC(O)=CC(C(=O)O)=C1C(=O)O,21,20
1192548-76-7,O=C(O)C1=CC(Br)=CC(Cl)=C1C(=O)O,14,17
67892-43-7,O=C(O)C1=CC=CC(=C1C(=O)O)S(=O)(=O)O,16,20
597565-48-5,O=C(O)C1=CC=C(C=C1)C=2C=CC=C(C(=O)O)C2C(=O)O,30,29
61837-53-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)N(=O)=O,18,22
26190-11-4,O=C(O)C1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1C(=O)O,22,30
10595-31-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,27,31
22895-28-9,O=C(O)C=1C=CC=C(N=N(=O)C=2C=CC=C(C(=O)O)C2C(=O)O)C1C(=O)O,27,36
945681-55-0,O=C(O)C=1C=C2C(=CC1C(=O)O)C3C=4C=CC=CC4C2C5=CC(C(=O)O)=C(C=C53)C(=O)O,32,35
92792-46-6,O=C(O)C1=CC=CC(=C1C(=O)O)N2C(=O)C=3C=CC=C(N)C3C2=O,24,28
6219-66-5,O=C(O)C1=C(O)C=C2C(=O)C=3C(O)=C(C(C(=O)C)=C(O)C3C(=O)C2=C1C(=O)O)CC,30,38
944-38-7,O=C(O)C1=C(C(=O)O)C(=CC=C1C)C,15,14
63035-28-9,O=C(O)C1=CC(O)=C(OC)C=C1C(=O)O,15,22
4445-49-2,O=C(O)C1=CC=CC(C=2C=CC=CC2)=C1C(=O)O,18,27
61837-54-5,O=C(O)C=1C=C(C(=O)O)C(=CC1N)C(=O)O,18,22
