cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5
88-99-3,O=C(O)C=1C=CC=CC1C(=O)O,12,17,-8.984110888108,-0.6887201556155,8.2953907324925,1.2822034393964166,0,0
603-11-2,O=C(O)C1=CC=CC(=C1C(=O)O)N(=O)=O,15,19,-9.406159470233499,-1.8996267903405,7.506532679892999,4.908302645518102,1,0
610-35-5,O=C(O)C1=CC=C(O)C=C1C(=O)O,13,18,-8.289948455482499,-0.5039548511259999,7.785993604356499,2.963805116737604,0,1
610-27-5,O=C(O)C1=CC=C(C=C1C(=O)O)N(=O)=O,15,19,-9.4339150829845,-1.997859890371,7.4360551926135,6.39552193726204,0,1
18959-31-4,O=C(O)C1=CC(F)=C(F)C=C1C(=O)O,14,17,,,,,0,2
528-44-9,O=C(O)C1=CC=C(C(=O)O)C(=C1)C(=O)O,20,18,-9.2075163593685,-1.152130043017,8.0553863163515,1.9379577007767739,0,1
89-05-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C(=O)O,20,23,-9.337858893758002,-1.4568975555769998,7.8809613381810015,3.419398349125179,0,2
1885-13-8,O=C(O)C1=CC=C(OC)C=C1C(=O)O,14,21,-8.170218361262501,-0.5477651810565,7.622453180206001,3.7278227640272816,0,1
569-51-7,O=C(O)C1=CC=CC(C(=O)O)=C1C(=O)O,20,19,-9.184386682076,-0.7714427661675001,8.4129439159085,2.4828779692123413,1,0
6968-28-1,O=C(O)C1=CC=C(Br)C=C1C(=O)O,13,17,-8.694581751176,-0.849539441261,7.845042309915001,1.3731690864565804,0,1
1583-67-1,O=C(O)C=1C=CC=C(F)C1C(=O)O,13,17,-8.899211366752,-0.792395532656,8.106815834096,1.9533688873328559,1,0
56962-08-4,O=C(O)C1=CC(Cl)=C(Cl)C=C1C(=O)O,14,17,,,,,0,2
5434-21-9,O=C(O)C1=CC=C(N)C=C1C(=O)O,13,19,,,,,0,1
137071-78-4,O=C(O)C1=CC(Cl)=C(C(=O)O)C(C(=O)O)=C1Cl,20,19,-8.825196399416,-1.06668629396,7.758510105456001,2.2478380969278016,2,1
651-97-8,O=C(O)C=1C(F)=CC=C(F)C1C(=O)O,14,17,-8.8450607105025,-0.8704922077495,7.974568502753,0.918522019333233,2,0
652-03-9,O=C(O)C=1C(F)=C(F)C(F)=C(F)C1C(=O)O,16,17,,,,,2,2
320-97-8,O=C(O)C1=CC=C(F)C=C1C(=O)O,13,17,-8.936490964270499,-0.7039585312435,8.232532433026998,1.1932017474006649,0,1
5434-20-8,O=C(O)C=1C=CC=C(N)C1C(=O)O,13,19,-7.4741511316835005,-0.611711935924,6.8624391957595,3.5080180857572554,1,0
2169-87-1,O=C(O)C1=CC=2C=CC=CC2C=C1C(=O)O,16,23,-7.8404163744565,-0.6898086110175,7.150607763439,2.5326000098712784,0,2
22803-05-0,O=C(O)C1=CC=C(C=C1C(=O)O)C=2C=CC(C(=O)O)=C(C2)C(=O)O,24,28,-8.358249031958,-1.2304988319610002,7.127750199996999,4.30511465700973,0,1
116-69-8,O=C(O)C=1C=CC=C(Br)C1C(=O)O,13,17,-8.68587410796,-0.8209674869585,7.8649066210015,2.104034004002787,1,0
3786-46-7,O=C(O)C=1C(O)=CC=C(O)C1C(=O)O,14,19,-7.778102302692,-1.119476380957,6.658625921735,2.548500580733699,2,0
89-20-3,O=C(O)C1=CC=C(Cl)C=C1C(=O)O,13,17,-8.809958023787999,-0.8269539916695,7.983004032118499,1.3735086202860178,0,1
4316-23-8,O=C(O)C1=CC=C(C=C1C(=O)O)C,13,17,-8.641791664179,-0.6157936436815,8.0259980204975,2.25191052442143,0,1
14963-97-4,O=C(O)C=1C=CC=C(OC)C1C(=O)O,14,21,-8.1065437202455,-0.6353858409174999,7.4711578793280005,4.315474756037856,1,0
6301-60-6,O=C(O)C1=CC=C(I)C=C1C(=O)O,13,17,,,,,0,1
10351-75-4,O=C(O)C1=CC=2N=CNC2C=C1C(=O)O,15,20,-8.3073637419145,-0.44082443780999997,7.8665393041045,6.223521663013635,0,2
632-58-6,O=C(O)C=1C(Cl)=C(Cl)C(Cl)=C(Cl)C1C(=O)O,16,17,-8.8733605509545,-0.945323516637,7.9280370343175,2.563406620105363,2,2
6937-34-4,O=C(O)C=1C=CC=C(I)C1C(=O)O,13,17,,,,,1,0
37141-01-8,O=C(O)C1=CC(N)=CC(C(=O)O)=C1C(=O)O,22,21,-7.6542905007145,-0.759197642895,6.8950928578195,7.848272277386916,1,1
835-58-5,O=C(O)C1=CC=C(C=C1C(=O)O)C(F)(F)F,16,20,-9.2728236834885,-0.9341668487665,8.338656834722,3.5849786066307283,0,1
27485-15-0,O=C(O)C=1C=C2C(=O)C=3C=CC=CC3C(=O)C2=CC1C(=O)O,22,29,,,,,0,2
37102-74-2,O=C(O)C1=CC=CC(=C1C(=O)O)C,13,17,-8.6164850760825,-0.5902149417345001,8.026270134348,2.6398676368333316,1,0
201730-11-2,O=C(O)C1=CC=C(C=C1C(=O)O)C(N)C(=O)O,17,21,-8.631995565561,-0.782599434038,7.849396131523001,2.574404770039086,0,1
1585-40-6,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C(=O)O)C1C(=O)O,25,24,-9.469017769699,-1.374174945025,8.094842824674,5.774793525313265,2,1
